,name,nationality,position,club,age,tackles_attemped,tackles_won,def_3rd_tackles,mid_3rd_tackles,off_3rd_tackles,dribbler_tackles_won,dribbler_tackles_attempted,dribber_tackles_success_rate,dribber_tackles_lost,blocks,shots_blocked,passes_blocked,interceptions,tackles_and_interceptions,clearances,errors_leading_to_shots,tackles_attemped_per_90,tackles_won_per_90,def_3rd_tackles_per_90,mid_3rd_tackles_per_90,off_3rd_tackles_per_90,dribbler_tackles_won_per_90,dribbler_tackles_attempted_per_90,dribber_tackles_lost_per_90,blocks_per_90,shots_blocked_per_90,passes_blocked_per_90,interceptions_per_90,tackles_and_interceptions_per_90,clearances_per_90,errors_leading_to_shots_per_90
0,Max Aarons,ENG,"DF,MF",Valencia,24.0,4,4,2,2,0,4,5,80.0,1,1,0,1,0,4,3,0,3.08,3.08,1.54,1.54,0.0,3.08,3.85,0.77,0.77,0.0,0.77,0.0,3.08,2.31,0.0
1,Rodrigo Abajas,ESP,DF,Valencia,21.0,3,2,2,1,0,3,3,100.0,0,1,0,1,1,4,0,0,4.29,2.86,2.86,1.43,0.0,4.29,4.29,0.0,1.43,0.0,1.43,1.43,5.71,0.0,0.0
2,Abel,ESP,DF,Osasuna,23.0,61,37,28,25,8,39,63,61.9,24,29,4,25,18,79,64,2,2.65,1.61,1.22,1.09,0.35,1.7,2.74,1.04,1.26,0.17,1.09,0.78,3.43,2.78,0.09
3,Nabil Aberdin,FRA,MF,Getafe,21.0,6,4,3,3,0,1,1,100.0,0,3,0,3,0,6,5,0,2.07,1.38,1.03,1.03,0.0,0.34,0.34,0.0,1.03,0.0,1.03,0.0,2.07,1.72,0.0
4,Abdel Abqar,MAR,DF,Alavés,25.0,36,23,24,11,1,20,34,58.8,14,28,18,10,39,75,146,1,1.31,0.84,0.88,0.4,0.04,0.73,1.24,0.51,1.02,0.66,0.36,1.42,2.74,5.33,0.04
5,Akor Adams,NGA,FW,Sevilla,24.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.0,0.0,0.67,0.0
6,Adrián,ESP,GK,Betis,37.0,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,14,3,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.74,0.16
7,Julen Agirrezabala,ESP,GK,Athletic Club,23.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.3,0.0
8,Lucien Agoume,FRA,MF,Sevilla,22.0,70,32,23,37,10,27,39,69.2,12,30,11,19,41,111,42,0,2.98,1.36,0.98,1.57,0.43,1.15,1.66,0.51,1.28,0.47,0.81,1.74,4.72,1.79,0.0
9,Álvaro Aguado,ESP,MF,Espanyol,28.0,5,2,3,2,0,3,9,33.3,6,7,1,6,4,9,5,1,1.02,0.41,0.61,0.41,0.0,0.61,1.84,1.22,1.43,0.2,1.22,0.82,1.84,1.02,0.2
10,Lorenzo Aguado,ESP,DF,Real Madrid,21.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
11,Nayef Aguerd,MAR,DF,Real Sociedad,28.0,30,24,17,12,1,12,18,66.7,6,21,15,6,13,43,91,0,1.53,1.22,0.87,0.61,0.05,0.61,0.92,0.31,1.07,0.77,0.31,0.66,2.19,4.64,0.0
12,Joseph Aidoo,GHA,DF,Valladolid,28.0,5,5,3,2,0,2,3,66.7,1,8,4,4,5,10,26,1,0.77,0.77,0.46,0.31,0.0,0.31,0.46,0.15,1.23,0.62,0.62,0.77,1.54,4.0,0.15
13,Joseph Aidoo,GHA,DF,Celta Vigo,28.0,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14,Ilias Akhomach,MAR,"MF,FW",Villarreal,20.0,12,7,4,4,4,6,12,50.0,6,8,0,8,3,15,13,0,1.85,1.08,0.62,0.62,0.62,0.92,1.85,0.92,1.23,0.0,1.23,0.46,2.31,2.0,0.0
15,David Alaba,AUT,DF,Real Madrid,32.0,1,0,1,0,0,0,0,,0,5,5,0,6,7,7,0,0.29,0.0,0.29,0.0,0.0,0.0,0.0,0.0,1.43,1.43,0.0,1.71,2.0,2.0,0.0
16,Ibrahim Alani,NGA,MF,Valladolid,18.0,12,7,8,4,0,4,6,66.7,2,3,1,2,1,13,1,0,6.67,3.89,4.44,2.22,0.0,2.22,3.33,1.11,1.67,0.56,1.11,0.56,7.22,0.56,0.0
17,Raúl Albiol,ESP,DF,Villarreal,38.0,10,9,9,1,0,6,10,60.0,4,10,9,1,6,16,69,1,0.76,0.68,0.68,0.08,0.0,0.45,0.76,0.3,0.76,0.68,0.08,0.45,1.21,5.23,0.08
18,Omar Alderete,PAR,DF,Getafe,27.0,43,29,30,11,2,20,30,66.7,10,38,22,16,40,83,241,1,1.3,0.88,0.91,0.33,0.06,0.61,0.91,0.3,1.15,0.67,0.48,1.21,2.52,7.3,0.03
19,Carles Aleñá,ESP,"MF,FW",Getafe,26.0,6,3,2,3,1,4,13,30.8,9,9,1,8,0,6,7,0,1.2,0.6,0.4,0.6,0.2,0.8,2.6,1.8,1.8,0.2,1.6,0.0,1.2,1.4,0.0
20,Carles Aleñá,ESP,"MF,FW",Alavés,26.0,19,12,6,7,6,7,17,41.2,10,11,0,11,2,21,4,0,1.57,0.99,0.5,0.58,0.5,0.58,1.4,0.83,0.91,0.0,0.91,0.17,1.74,0.33,0.0
21,Alfon,ESP,"FW,MF",Celta Vigo,25.0,8,3,3,2,3,4,12,33.3,8,8,0,8,5,13,5,1,0.53,0.2,0.2,0.13,0.2,0.26,0.79,0.53,0.53,0.0,0.53,0.33,0.86,0.33,0.07
22,Tadeo Allende,ARG,FW,Celta Vigo,25.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Domingos André Ribeiro Almeida,POR,"MF,FW",Valencia,24.0,48,32,18,21,9,14,39,35.9,25,21,3,18,8,56,14,1,2.18,1.45,0.82,0.95,0.41,0.64,1.77,1.14,0.95,0.14,0.82,0.36,2.55,0.64,0.05
24,Iker Almena,ESP,"FW,DF",Girona,20.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0
25,Marcos Alonso,ESP,DF,Celta Vigo,33.0,35,21,19,13,3,25,44,56.8,19,22,7,15,34,69,126,4,1.19,0.71,0.65,0.44,0.1,0.85,1.5,0.65,0.75,0.24,0.51,1.16,2.35,4.29,0.14
26,Adrià Altimira,ESP,"DF,FW",Leganés,23.0,41,24,26,12,3,24,40,60.0,16,15,6,9,15,56,54,2,2.27,1.33,1.44,0.66,0.17,1.33,2.21,0.88,0.83,0.33,0.5,0.83,3.09,2.98,0.11
27,Sergi Altimira,ESP,MF,Betis,22.0,61,37,17,38,6,36,60,60.0,24,28,1,27,24,85,43,3,2.79,1.69,0.78,1.74,0.27,1.64,2.74,1.1,1.28,0.05,1.23,1.1,3.88,1.96,0.14
