Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Max Aarons,eng ENG,"DF,MF",Valencia,24,2000,1.3,1.54,0,0,0,1.54,0,3.85,0,3.08,0,0,0,5.38,1.54,0.77,66.7,Matches
2,Rodrigo Abajas,es ESP,DF,Valencia,21,2003,0.7,1.43,0,0,2.86,0,1.43,1.43,1.43,2.86,0,0,0,2.86,0,1.43,0,Matches
3,Abel,es ESP,DF,Osasuna,23,2000,23,0.13,0,0,1.09,1.39,0.13,3.7,0.78,1.61,0,0.04,0,4.61,0.87,0.74,54.1,Matches
4,Nabil Aberdin,fr FRA,MF,Getafe,21,2002,2.9,0.34,0,0,2.41,2.07,0,0,0,1.38,0,0,0,2.76,3.45,1.03,76.9,Matches
5,Abdel Abqar,ma MAR,DF,Alavés,25,1999,27.4,0.47,0,0,1.72,1.13,0.07,0.18,1.42,0.84,0.04,0.07,0,3.18,1.46,1.28,53.3,Matches
6,Akor Adams,ng NGA,FW,Sevilla,24,2000,1.5,0,0,0,0.67,0,0.67,0,0,0,0,0,0,2.67,4,6.67,37.5,Matches
7,Adrián,es ESP,GK,Betis,37,1987,19,0.16,0,0,0,0.21,0,0,0,0,0,0,0,1.05,0.11,0.05,66.7,Matches
8,Julen Agirrezabala,es ESP,GK,Athletic Club,23,2000,13.4,0.07,0.07,0,0.22,0.07,0,0,0,0,0,0.15,0,1.57,0.37,0,100,Matches
9,Lucien Agoume,fr FRA,MF,Sevilla,22,2002,23.5,0.21,0.04,0,2.09,0.26,0.09,0.77,1.74,1.36,0,0.04,0,5.79,1.79,1.7,51.2,Matches
10,Álvaro Aguado,es ESP,MF,Espanyol,28,1996,4.9,0.61,0,0,1.02,1.63,0,2.45,0.82,0.41,0,0,0,7.55,0.61,0.41,60,Matches
11,Lorenzo Aguado,es ESP,DF,Real Madrid,21,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
12,Nayef Aguerd,ma MAR,DF,Real Sociedad,28,1996,19.6,0.26,0,0,0.56,0.97,0,0.1,0.66,1.22,0,0.05,0,3.72,3.11,1.63,65.6,Matches
13,Joseph Aidoo,gh GHA,DF,Valladolid,28,1995,6.5,0,0,0,0.62,0.31,0,0,0.77,0.77,0,0,0,3.85,1.38,1.23,52.9,Matches
14,Joseph Aidoo,gh GHA,DF,Celta Vigo,28,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
15,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,20,2004,6.5,0.15,0,0,1.38,3.23,0.15,2.77,0.46,1.08,0,0,0,4.62,0.92,0.92,50,Matches
16,David Alaba,at AUT,DF,Real Madrid,32,1992,3.5,0.29,0,0,0.57,0,0,0.86,1.71,0,0,0,0,2.29,1.14,0.29,80,Matches
17,Ibrahim Alani,ng NGA,MF,Valladolid,18,2006,1.8,0,0,0,1.11,2.78,0,0,0.56,3.89,0,0,0,7.22,1.67,0.56,75,Matches
18,Raúl Albiol,es ESP,DF,Villarreal,38,1985,13.2,0.38,0,0,0.83,0.45,0,0,0.45,0.68,0,0.15,0.08,3.33,2.2,1.06,67.4,Matches
19,Omar Alderete,py PAR,DF,Getafe,27,1996,33,0.24,0,0,1,0.36,0.24,0.18,1.21,0.88,0.03,0.12,0,3.48,3.06,1.55,66.4,Matches
20,Carles Aleñá,es ESP,"MF,FW",Getafe,26,1998,5,0.2,0,0,1.6,2.2,0.4,1.2,0,0.6,0,0,0,2.4,2,1.8,52.6,Matches
