Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
1,Max Aarons,eng ENG,"DF,MF",Valencia,24,2000,1.3,66,54,12,1,0,0,5,11,0,0,0,0,47,0,1,Matches
2,Rodrigo Abajas,es ESP,DF,Valencia,21,2003,0.7,29,21,8,0,0,0,1,8,0,0,0,0,17,0,2,Matches
3,Abel,es ESP,DF,Osasuna,23,2000,23,1071,847,220,14,3,2,85,206,0,0,0,0,776,4,47,Matches
4,Nabil Aberdin,fr FRA,MF,Getafe,21,2002,2.9,61,58,2,2,0,1,0,0,0,0,0,0,36,1,3,Matches
5,Abdel Abqar,ma MAR,DF,Alavés,25,1999,27.4,939,888,48,40,1,17,5,7,0,0,0,0,719,3,6,Matches
6,Akor Adams,ng NGA,FW,Sevilla,24,2000,1.5,27,24,3,0,0,0,0,0,0,0,0,0,20,0,0,Matches
7,Adrián,es ESP,GK,Betis,37,1987,19,619,453,163,54,0,0,0,0,0,0,0,0,474,3,4,Matches
8,Julen Agirrezabala,es ESP,GK,Athletic Club,23,2000,13.4,411,305,102,36,0,0,0,0,0,0,0,0,281,4,0,Matches
9,Lucien Agoume,fr FRA,MF,Sevilla,22,2002,23.5,1236,1190,38,32,6,9,18,6,0,0,0,0,1007,8,16,Matches
10,Álvaro Aguado,es ESP,MF,Espanyol,28,1996,4.9,248,230,17,10,1,3,12,3,3,1,1,0,193,1,5,Matches
11,Lorenzo Aguado,es ESP,DF,Real Madrid,21,2002,0.1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,Matches
12,Nayef Aguerd,ma MAR,DF,Real Sociedad,28,1996,19.6,1389,1330,53,38,0,34,2,3,0,0,0,0,1213,6,10,Matches
13,Joseph Aidoo,gh GHA,DF,Valladolid,28,1995,6.5,378,363,15,9,0,2,0,1,0,0,0,0,337,0,3,Matches
14,Joseph Aidoo,gh GHA,DF,Celta Vigo,28,1995,0,7,7,0,0,0,0,0,0,0,0,0,0,6,0,1,Matches
15,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,20,2004,6.5,185,177,7,2,1,2,18,2,3,2,0,0,136,1,7,Matches
16,David Alaba,at AUT,DF,Real Madrid,32,1992,3.5,228,214,13,4,0,2,3,2,0,0,0,0,206,1,2,Matches
17,Ibrahim Alani,ng NGA,MF,Valladolid,18,2006,1.8,85,82,2,0,0,1,0,1,0,0,0,0,71,1,0,Matches
18,Raúl Albiol,es ESP,DF,Villarreal,38,1985,13.2,813,778,33,25,1,4,0,0,0,0,0,0,727,2,3,Matches
19,Omar Alderete,py PAR,DF,Getafe,27,1996,33,1106,1026,67,61,3,29,6,0,0,0,0,0,724,13,14,Matches
20,Carles Aleñá,es ESP,"MF,FW",Getafe,26,1998,5,117,105,12,6,0,0,6,1,1,1,0,0,93,0,1,Matches
21,Carles Aleñá,es ESP,"MF,FW",Alavés,26,1998,12.1,472,450,22,8,6,0,31,2,11,5,5,0,359,0,21,Matches
22,Alfon,es ESP,"FW,MF",Celta Vigo,25,1999,15.2,377,370,4,1,1,3,40,3,0,0,0,0,263,3,27,Matches
23,Tadeo Allende,ar ARG,FW,Celta Vigo,25,1999,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,Matches
24,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,24,2000,22,947,854,85,27,7,7,67,10,34,8,18,0,798,8,17,Matches
25,Iker Almena,es ESP,"FW,DF",Girona,20,2004,0.5,32,30,2,0,0,0,4,2,0,0,0,0,23,0,2,Matches
26,Marcos Alonso,es ESP,DF,Celta Vigo,33,1990,29.4,2397,2236,158,81,2,25,42,54,15,10,3,0,2139,3,24,Matches
27,Adrià Altimira,es ESP,"DF,FW",Leganés,23,2001,18.1,615,516,97,4,2,3,28,93,0,0,0,0,483,2,11,Matches
28,Sergi Altimira,es ESP,MF,Betis,22,2001,21.9,1258,1231,26,22,4,16,5,3,0,0,0,0,1123,1,17,Matches
29,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,21,2003,17.5,1013,856,151,16,0,2,31,125,10,4,1,0,799,6,33,Matches
30,Julián Álvarez,ar ARG,FW,Atlético Madrid,24,2000,27.9,966,879,85,8,14,12,69,6,50,21,15,0,717,2,31,Matches
