Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
1,Max Aarons,eng ENG,"DF,MF",Valencia,24,2000,1.3,50.8,41.5,9.23,0.77,0,0,3.85,8.46,0,0,0,0,36.2,0,0.77,Matches
2,Rodrigo Abajas,es ESP,DF,Valencia,21,2003,0.7,41.4,30,11.4,0,0,0,1.43,11.4,0,0,0,0,24.3,0,2.86,Matches
3,Abel,es ESP,DF,Osasuna,23,2000,23,46.6,36.8,9.57,0.61,0.13,0.09,3.7,8.96,0,0,0,0,33.7,0.17,2.04,Matches
4,Nabil Aberdin,fr FRA,MF,Getafe,21,2002,2.9,21,20,0.69,0.69,0,0.34,0,0,0,0,0,0,12.4,0.34,1.03,Matches
5,Abdel Abqar,ma MAR,DF,Alavés,25,1999,27.4,34.3,32.4,1.75,1.46,0.04,0.62,0.18,0.26,0,0,0,0,26.2,0.11,0.22,Matches
6,Akor Adams,ng NGA,FW,Sevilla,24,2000,1.5,18,16,2,0,0,0,0,0,0,0,0,0,13.3,0,0,Matches
7,Adrián,es ESP,GK,Betis,37,1987,19,32.6,23.8,8.58,2.84,0,0,0,0,0,0,0,0,24.9,0.16,0.21,Matches
8,Julen Agirrezabala,es ESP,GK,Athletic Club,23,2000,13.4,30.7,22.8,7.61,2.69,0,0,0,0,0,0,0,0,21,0.3,0,Matches
9,Lucien Agoume,fr FRA,MF,Sevilla,22,2002,23.5,52.6,50.6,1.62,1.36,0.26,0.38,0.77,0.26,0,0,0,0,42.9,0.34,0.68,Matches
10,Álvaro Aguado,es ESP,MF,Espanyol,28,1996,4.9,50.6,46.9,3.47,2.04,0.2,0.61,2.45,0.61,0.61,0.2,0.2,0,39.4,0.2,1.02,Matches
11,Lorenzo Aguado,es ESP,DF,Real Madrid,21,2002,0.1,10,0,10,0,0,0,0,10,0,0,0,0,10,0,0,Matches
12,Nayef Aguerd,ma MAR,DF,Real Sociedad,28,1996,19.6,70.9,67.9,2.7,1.94,0,1.73,0.1,0.15,0,0,0,0,61.9,0.31,0.51,Matches
13,Joseph Aidoo,gh GHA,DF,Valladolid,28,1995,6.5,58.2,55.8,2.31,1.38,0,0.31,0,0.15,0,0,0,0,51.8,0,0.46,Matches
14,Joseph Aidoo,gh GHA,DF,Celta Vigo,28,1995,0,7,7,0,0,0,0,0,0,0,0,0,0,6,0,1,Matches
15,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,20,2004,6.5,28.5,27.2,1.08,0.31,0.15,0.31,2.77,0.31,0.46,0.31,0,0,20.9,0.15,1.08,Matches
16,David Alaba,at AUT,DF,Real Madrid,32,1992,3.5,65.1,61.1,3.71,1.14,0,0.57,0.86,0.57,0,0,0,0,58.9,0.29,0.57,Matches
17,Ibrahim Alani,ng NGA,MF,Valladolid,18,2006,1.8,47.2,45.6,1.11,0,0,0.56,0,0.56,0,0,0,0,39.4,0.56,0,Matches
18,Raúl Albiol,es ESP,DF,Villarreal,38,1985,13.2,61.6,58.9,2.5,1.89,0.08,0.3,0,0,0,0,0,0,55.1,0.15,0.23,Matches
19,Omar Alderete,py PAR,DF,Getafe,27,1996,33,33.5,31.1,2.03,1.85,0.09,0.88,0.18,0,0,0,0,0,21.9,0.39,0.42,Matches
20,Carles Aleñá,es ESP,"MF,FW",Getafe,26,1998,5,23.4,21,2.4,1.2,0,0,1.2,0.2,0.2,0.2,0,0,18.6,0,0.2,Matches
21,Carles Aleñá,es ESP,"MF,FW",Alavés,26,1998,12.1,39,37.2,1.82,0.66,0.5,0,2.56,0.17,0.91,0.41,0.41,0,29.7,0,1.74,Matches
22,Alfon,es ESP,"FW,MF",Celta Vigo,25,1999,15.2,24.8,24.3,0.26,0.07,0.07,0.2,2.63,0.2,0,0,0,0,17.3,0.2,1.78,Matches
23,Tadeo Allende,ar ARG,FW,Celta Vigo,25,1999,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,Matches
24,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,24,2000,22,43,38.8,3.86,1.23,0.32,0.32,3.05,0.45,1.55,0.36,0.82,0,36.3,0.36,0.77,Matches
25,Iker Almena,es ESP,"FW,DF",Girona,20,2004,0.5,64,60,4,0,0,0,8,4,0,0,0,0,46,0,4,Matches
26,Marcos Alonso,es ESP,DF,Celta Vigo,33,1990,29.4,81.5,76.1,5.37,2.76,0.07,0.85,1.43,1.84,0.51,0.34,0.1,0,72.8,0.1,0.82,Matches
27,Adrià Altimira,es ESP,"DF,FW",Leganés,23,2001,18.1,34,28.5,5.36,0.22,0.11,0.17,1.55,5.14,0,0,0,0,26.7,0.11,0.61,Matches
28,Sergi Altimira,es ESP,MF,Betis,22,2001,21.9,57.4,56.2,1.19,1,0.18,0.73,0.23,0.14,0,0,0,0,51.3,0.05,0.78,Matches
29,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,21,2003,17.5,57.9,48.9,8.63,0.91,0,0.11,1.77,7.14,0.57,0.23,0.06,0,45.7,0.34,1.89,Matches
30,Julián Álvarez,ar ARG,FW,Atlético Madrid,24,2000,27.9,34.6,31.5,3.05,0.29,0.5,0.43,2.47,0.22,1.79,0.75,0.54,0,25.7,0.07,1.11,Matches
31,Yeray Álvarez,es ESP,DF,Athletic Club,29,1995,19.8,59.7,56.9,2.63,2.02,0.05,0.81,0.15,0.1,0,0,0,0,50.2,0.2,0.66,Matches
32,Selim Amallah,ma MAR,MF,Valladolid,27,1996,15.3,26.5,23,3.14,1.18,0.2,0.46,2.03,0.07,1.18,0.52,0.52,0,20.8,0.39,0.59,Matches
33,Amath,sn SEN,"FW,DF",Valladolid,28,1996,4.2,26.7,25.2,1.43,0.24,0.24,0.48,1.67,1.19,0,0,0,0,20.5,0,1.67,Matches
34,Marcos André,br BRA,FW,Valladolid,27,1996,13.2,15.9,14,1.67,0.15,0.23,0.45,0.08,0.08,0,0,0,0,10.5,0.23,0.38,Matches
35,Leandro Antonetti,pr PUR,FW,Sevilla,21,2003,0.3,13.3,13.3,0,0,0,0,0,0,0,0,0,0,6.67,0,3.33,Matches
36,Antoniu,es ESP,"FW,MF",Espanyol,21,2002,11.4,19.4,18.8,0.35,0.09,0.35,0,1.75,0.26,0,0,0,0,13,0.26,1.32,Matches
37,Antony,br BRA,FW,Betis,24,2000,15.1,50.9,47.8,2.98,0.73,0.46,0.33,2.65,1.32,0.93,0.26,0.26,0,41.2,0.07,1.19,Matches
38,Anuar,ma MAR,"MF,FW",Valladolid,29,1995,19.1,26.4,24.4,2.04,0.52,0.05,0,1.15,1.31,0.05,0,0,0,21.5,0,0.31,Matches
39,Aritz Arambarri,es ESP,DF,Leganés,26,1998,2,33.5,32.5,1,1,0,0.5,0,0,0,0,0,0,24.5,0,0.5,Matches
40,Mauro Arambarri,uy URU,MF,Getafe,28,1995,29.6,27,26.2,0.71,0.44,0.07,0.3,0.47,0,0.03,0.03,0,0,19.8,0.14,0.47,Matches
41,Jon Aramburu,ve VEN,DF,Real Sociedad,22,2002,27.3,55.6,44.4,11.2,1.36,0,0.11,1.65,9.82,0,0,0,0,43.6,0.07,1.36,Matches
42,Ronald Araújo,uy URU,DF,Barcelona,25,1999,8.4,86.3,83,3.21,2.38,0,0.12,0,0.71,0,0,0,0,79.3,0.12,0,Matches
43,Adu Ares,es ESP,FW,Athletic Club,22,2001,0.2,45,45,0,0,0,0,5,0,0,0,0,0,25,0,5,Matches
44,Jesús Areso,es ESP,DF,Osasuna,25,1999,34.2,46,35.2,10.7,0.09,0,0.12,4.94,10.6,0.03,0,0,0,33.3,0.12,1.84,Matches
45,David Argüelles,es ESP,MF,Getafe,22,2002,0.1,50,50,0,0,0,0,0,0,0,0,0,0,30,0,0,Matches
46,José Arnaiz,es ESP,"FW,MF",Osasuna,29,1995,1.5,51.3,44,7.33,2,0,0.67,12,0.67,4.67,3.33,0.67,0,34.7,0,4,Matches
47,Sergio Arribas,es ESP,DF,Betis,21,2003,1,54,40,13,1,0,0,0,12,0,0,0,0,37,1,2,Matches
48,Takuma Asano,jp JPN,"FW,MF",Mallorca,29,1994,11.7,18.7,18.5,0.17,0.09,0,0.26,1.71,0,0,0,0,0,12.6,0,1.11,Matches
49,Raúl Asencio,es ESP,DF,Real Madrid,21,2003,18.6,53.1,49.8,3.28,1.77,0.05,0.43,0,0.43,0,0,0,0,49.8,0.05,0.11,Matches
50,Iago Aspas,es ESP,"FW,MF",Celta Vigo,36,1987,19.4,45.2,43.8,1.03,0.15,1.03,0.41,0.77,0.46,0.21,0,0.05,0,34.1,0.41,1.39,Matches
51,Yaser Asprilla,co COL,"FW,MF",Girona,20,2003,15.6,41.9,37.9,3.59,0.96,0.38,0.64,5.96,0.64,1.54,1.03,0.26,0,30.2,0.38,1.54,Matches
52,Ezequiel Ávila,ar ARG,FW,Betis,30,1994,7.5,31.7,28.7,2.8,0.4,0,0.27,3.87,1.33,0.27,0.13,0.13,0,22.1,0.27,1.2,Matches
53,Adam Aznou,ma MAR,DF,Valladolid,18,2006,9.7,35.4,27.1,7.84,0.93,0,0,1.24,6.7,0.21,0.21,0,0,25.3,0.41,1.24,Matches
54,César Azpilicueta,es ESP,DF,Atlético Madrid,34,1989,9.7,69.2,59.8,9.38,0.82,0.1,0.31,0.52,8.56,0,0,0,0,59.9,0,0.41,Matches
55,Papa Ba,es ESP,MF,Girona,19,2004,0.5,26,26,0,0,0,0,2,0,0,0,0,0,10,0,6,Matches
56,Loïc Bade,fr FRA,DF,Sevilla,24,2000,29.8,61.1,58.8,2.08,1.61,0.03,0.6,0.27,0.2,0,0,0,0,52.4,0.27,0.3,Matches
57,Alex Baena,es ESP,"MF,FW",Villarreal,23,2001,28.8,44.7,37.6,6.67,1.81,0.76,0.69,7.19,0.83,3.72,1.49,1.46,0,29.8,0.45,1.42,Matches
58,Juma Bah,sl SLE,DF,Valladolid,18,2006,9.6,42.4,40.9,1.25,1.15,0,0.1,0,0,0,0,0,0,34.4,0.21,0.31,Matches
59,Eric Bailly,ci CIV,DF,Villarreal,30,1994,6.9,46.4,43.5,2.75,1.59,0,0,0,0.29,0,0,0,0,40.6,0.14,0.14,Matches
60,Stefan Bajcetic,es ESP,"MF,DF",Las Palmas,19,2004,10.8,38.7,36.8,1.67,1.3,0,0.83,0.37,0.19,0.09,0.09,0,0,27.8,0.28,0.74,Matches
61,Cédric Bakambu,cd COD,FW,Betis,33,1991,7.9,15.9,15.2,0.63,0,0.13,0,0.25,0,0,0,0,0,10.6,0.13,0.89,Matches
62,Alejandro Balde,es ESP,DF,Barcelona,20,2003,25.4,58.4,50.7,7.6,1.26,0.12,0.08,2.64,6.34,0,0,0,0,51.4,0.16,1.1,Matches
63,Iván Balliu,al ALB,DF,Rayo Vallecano,32,1992,13.3,48.8,35.4,13.2,0.9,0,0.08,1.43,12.3,0,0,0,0,37,0.15,1.5,Matches
64,Jonathan Bamba,ci CIV,"FW,MF",Celta Vigo,28,1996,9,40.4,38.6,1.56,0.22,0.33,0.11,2.78,1.22,0.11,0,0,0,31.9,0.33,1.33,Matches
65,Adrian Baquerin,es ESP,FW,Valladolid,17,2007,0.5,20,18,2,2,0,0,0,0,0,0,0,0,18,0,0,Matches
66,Valentín Barco,ar ARG,"DF,FW",Sevilla,20,2004,3.2,59.7,44.1,15,2.81,0.63,0.63,7.5,9.38,2.81,0,1.56,0,43.4,0.63,1.56,Matches
67,Borna Barišić,hr CRO,DF,Leganés,31,1992,0.1,40,20,10,0,0,0,0,10,0,0,0,0,30,10,0,Matches
68,Kike Barja,es ESP,"FW,MF",Osasuna,27,1997,3.5,32.6,28.3,3.71,0.57,0,0.29,10.6,0.86,2.29,0,2,0,21.1,0.57,2.29,Matches
69,Enzo Barrenechea,ar ARG,MF,Valencia,23,2001,24.3,55.6,53.2,2.26,2.22,0.12,0.91,0.12,0.04,0,0,0,0,48.1,0.21,0.45,Matches
70,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,22,2001,14,37.8,36.1,1.36,0.07,0.07,0.79,3.86,0.79,0.5,0.29,0,0,26.8,0.29,1.93,Matches
