Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Max Aarons,eng ENG,"DF,MF",Valencia,24,2000,4,120,30,3.5,1.3,1,73,0,3,16,14,0.75,1,3,-2,-1.5,-1.28,1.5,3.7,-2.3,-1.69,-1.52,Matches
2,Álvaro Abajas,es ESP,GK,Leganés,21,2003,0,,,,,0,,0,0,,33,,,,,,,,,,,,Matches
3,Rodrigo Abajas,es ESP,DF,Valencia,21,2003,1,65,65,1.9,0.7,1,65,0,0,,8,0,1,2,-1,-1.38,-1.14,1.4,0.7,0.7,0.93,1.18,Matches
4,Jones El-Abdellaoui,no NOR,FW,Celta Vigo,18,2006,0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches
5,Abel,es ESP,DF,Osasuna,23,2000,35,"2,074",59,60.6,23,20,86,13,15,24,3,1.46,30,35,-5,-0.22,-0.28,25.7,34.4,-8.7,-0.38,-0.32,Matches
6,Nabil Aberdin,fr FRA,MF,Getafe,21,2002,7,263,38,7.7,2.9,4,63,1,3,4,7,1.14,1,2,-1,-0.34,-0.23,1.8,1.6,0.2,0.07,0.34,Matches
7,Abdel Abqar,ma MAR,DF,Alavés,25,1999,29,"2,463",85,72,27.4,29,85,24,0,,0,1.03,30,41,-11,-0.4,-0.5,32,33.4,-1.4,-0.05,0.21,Matches
8,Vicent Abril Sanz,es ESP,GK,Valencia,19,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
9,Álvaro Aceves,es ESP,GK,Valladolid,21,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
10,Akor Adams,ng NGA,FW,Sevilla,24,2000,4,134,34,3.9,1.5,1,90,1,3,15,0,0.25,1,3,-2,-1.34,-1.04,1,2,-1,-0.71,-0.61,Matches
11,Adrián,es ESP,GK,Betis,37,1987,19,"1,710",90,50,19,19,90,19,0,,17,1.95,39,27,12,0.63,0.89,25.8,25.7,0.2,0.01,-0.19,Matches
12,Julen Agirrezabala,es ESP,GK,Athletic Club,23,2000,14,"1,206",86,35.3,13.4,14,86,12,0,,22,2.21,22,9,13,0.97,0.48,19,11,8,0.6,0.3,Matches
13,Lucien Agoume,fr FRA,MF,Sevilla,22,2002,35,"2,114",60,61.8,23.5,24,84,14,11,10,1,1.09,26,39,-13,-0.55,-0.55,25.7,31.4,-5.8,-0.24,-0.32,Matches
14,Álvaro Aguado,es ESP,MF,Espanyol,28,1996,16,443,28,13,4.9,4,71,0,12,13,20,0.94,6,7,-1,-0.2,0.1,6,8.3,-2.4,-0.48,0.03,Matches
15,Diego Aguado,es ESP,DF,Real Madrid,17,2007,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
16,Lorenzo Aguado,es ESP,DF,Real Madrid,21,2002,2,5,3,0.1,0.1,0,,0,2,3,6,3,0,0,0,0,-1.05,0.2,0,0.2,3.53,2.67,Matches
17,Nayef Aguerd,ma MAR,DF,Real Sociedad,28,1996,21,"1,760",84,51.5,19.6,21,84,17,0,,3,1.48,18,15,3,0.15,0.91,25.9,18.8,7,0.36,0.82,Matches
18,Lalo Aguilar,es ESP,DF,Leganés,22,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
19,Joseph Aidoo,gh GHA,DF,Valladolid,28,1995,8,583,73,17,6.5,6,78,4,2,57,1,0,6,25,-19,-2.93,-1.51,5.4,15.3,-9.9,-1.53,-0.8,Matches
20,Joseph Aidoo,gh GHA,DF,Celta Vigo,28,1995,1,2,2,0.1,0,0,,0,1,2,13,3,1,0,1,45,44.97,0.3,0,0.3,14.69,14.42,Matches
21,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,20,2004,11,584,53,17.1,6.5,7,69,0,4,25,1,1.91,8,7,1,0.15,-0.45,8.7,6.1,2.6,0.4,-0.17,Matches
22,David Alaba,at AUT,DF,Real Madrid,32,1992,7,317,45,9.3,3.5,4,66,1,3,17,5,2.14,6,4,2,0.57,-0.53,7.1,4.2,2.9,0.82,-0.04,Matches
23,Ibrahim Alani,ng NGA,MF,Valladolid,18,2006,3,160,53,4.7,1.8,1,90,1,2,35,0,0,0,4,-4,-2.25,-0.59,1.9,2.9,-1.1,-0.6,0.29,Matches
24,Raúl Albiol,es ESP,DF,Villarreal,38,1985,15,"1,188",79,34.7,13.2,14,84,12,1,6,13,1.73,26,20,6,0.45,-0.11,22.3,13.8,8.5,0.64,0.16,Matches
25,Alcázar,es ESP,DF,Betis,22,2002,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
26,Omar Alderete,py PAR,DF,Getafe,27,1996,34,"2,971",87,86.9,33,34,87,27,0,,0,1.21,32,35,-3,-0.09,0.31,33.5,40.5,-7,-0.21,0.26,Matches
27,Pedro Alemañ,es ESP,MF,Valencia,22,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
28,Carles Aleñá,es ESP,"MF,FW",Getafe,26,1998,10,452,45,13.2,5,5,67,0,5,23,7,0.8,2,4,-2,-0.4,-0.31,4,7.7,-3.7,-0.74,-0.57,Matches
