Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
1,Max Aarons,eng ENG,"DF,MF",Valencia,24,2000,1.3,85,1,21,28,36,0,85,4,1,25,2,50,46,215,103,0,3,0,3,1,49,10,Matches
2,Rodrigo Abajas,es ESP,DF,Valencia,21,2003,0.7,36,1,8,19,9,1,36,1,1,100,0,0,13,101,67,3,2,1,0,2,16,3,Matches
3,Abel,es ESP,DF,Osasuna,23,2000,23,1322,65,370,605,357,19,1322,35,18,51.4,13,37.1,605,3269,1792,50,44,7,27,18,683,92,Matches
4,Nabil Aberdin,fr FRA,MF,Getafe,21,2002,2.9,87,6,21,56,10,2,87,3,2,66.7,1,33.3,34,148,74,2,0,0,1,1,36,2,Matches
5,Abdel Abqar,ma MAR,DF,Alavés,25,1999,27.4,1251,160,659,545,58,25,1251,4,3,75,1,25,632,3531,2013,16,7,0,18,3,650,4,Matches
6,Akor Adams,ng NGA,FW,Sevilla,24,2000,1.5,34,1,4,18,12,1,34,1,1,100,0,0,5,18,0,0,0,0,2,0,20,5,Matches
7,Adrián,es ESP,GK,Betis,37,1987,19,658,568,657,1,0,0,658,0,0,,0,,390,1788,1161,0,0,0,1,0,299,0,Matches
8,Julen Agirrezabala,es ESP,GK,Athletic Club,23,2000,13.4,437,357,436,1,0,0,437,0,0,,0,,237,1238,682,0,0,0,1,0,211,0,Matches
9,Lucien Agoume,fr FRA,MF,Sevilla,22,2002,23.5,1481,65,386,867,248,19,1481,30,22,73.3,7,23.3,689,3227,1597,29,23,2,26,13,928,23,Matches
10,Álvaro Aguado,es ESP,MF,Espanyol,28,1996,4.9,303,7,68,161,78,6,303,8,5,62.5,2,25,175,1443,753,15,10,4,9,4,189,4,Matches
11,Lorenzo Aguado,es ESP,DF,Real Madrid,21,2002,0.1,3,0,3,0,0,0,3,0,0,,0,,1,2,0,0,0,0,0,1,1,0,Matches
12,Nayef Aguerd,ma MAR,DF,Real Sociedad,28,1996,19.6,1594,132,729,815,53,16,1594,10,5,50,2,20,1019,6113,3798,26,18,0,7,3,1138,1,Matches
13,Joseph Aidoo,gh GHA,DF,Valladolid,28,1995,6.5,431,61,265,168,2,1,431,1,1,100,0,0,259,1248,678,1,0,0,0,1,320,0,Matches
14,Joseph Aidoo,gh GHA,DF,Celta Vigo,28,1995,0,8,0,4,4,0,0,8,0,0,,0,,7,9,8,0,0,0,0,1,6,0,Matches
15,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,20,2004,6.5,293,8,44,89,163,29,293,43,19,44.2,17,39.5,200,1310,759,30,18,20,15,10,209,64,Matches
16,David Alaba,at AUT,DF,Real Madrid,32,1992,3.5,247,36,137,100,11,2,247,0,0,,0,,180,934,482,2,1,0,1,0,199,4,Matches
17,Ibrahim Alani,ng NGA,MF,Valladolid,18,2006,1.8,113,8,36,74,4,0,113,1,1,100,0,0,54,305,130,2,0,0,1,2,65,1,Matches
18,Raúl Albiol,es ESP,DF,Villarreal,38,1985,13.2,915,157,533,369,14,3,915,0,0,,0,,514,2346,1226,3,1,0,3,1,652,0,Matches
19,Omar Alderete,py PAR,DF,Getafe,27,1996,33,1585,192,681,796,122,39,1585,28,18,64.3,10,35.7,633,4014,2546,25,20,2,30,9,658,7,Matches
20,Carles Aleñá,es ESP,"MF,FW",Getafe,26,1998,5,163,5,26,84,56,10,163,4,3,75,1,25,88,427,169,3,2,1,3,6,98,10,Matches
