Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
1,Max Aarons,eng ENG,"DF,MF",Valencia,24,2000,1.3,65.4,0.77,16.2,21.5,27.7,0,65.4,3.08,0.77,25,1.54,50,35.4,165.4,79.2,0,2.31,0,2.31,0.77,37.7,7.69,Matches
2,Rodrigo Abajas,es ESP,DF,Valencia,21,2003,0.7,51.4,1.43,11.4,27.1,12.9,1.43,51.4,1.43,1.43,100,0,0,18.6,144.3,95.7,4.29,2.86,1.43,0,2.86,22.9,4.29,Matches
3,Abel,es ESP,DF,Osasuna,23,2000,23,57.5,2.83,16.1,26.3,15.5,0.83,57.5,1.52,0.78,51.4,0.57,37.1,26.3,142.1,77.9,2.17,1.91,0.3,1.17,0.78,29.7,4,Matches
4,Nabil Aberdin,fr FRA,MF,Getafe,21,2002,2.9,30,2.07,7.24,19.3,3.45,0.69,30,1.03,0.69,66.7,0.34,33.3,11.7,51,25.5,0.69,0,0,0.34,0.34,12.4,0.69,Matches
5,Abdel Abqar,ma MAR,DF,Alavés,25,1999,27.4,45.7,5.84,24.1,19.9,2.12,0.91,45.7,0.15,0.11,75,0.04,25,23.1,128.9,73.5,0.58,0.26,0,0.66,0.11,23.7,0.15,Matches
6,Akor Adams,ng NGA,FW,Sevilla,24,2000,1.5,22.7,0.67,2.67,12,8,0.67,22.7,0.67,0.67,100,0,0,3.33,12,0,0,0,0,1.33,0,13.3,3.33,Matches
7,Adrián,es ESP,GK,Betis,37,1987,19,34.6,29.9,34.6,0.05,0,0,34.6,0,0,,0,,20.5,94.1,61.1,0,0,0,0.05,0,15.7,0,Matches
8,Julen Agirrezabala,es ESP,GK,Athletic Club,23,2000,13.4,32.6,26.6,32.5,0.07,0,0,32.6,0,0,,0,,17.7,92.4,50.9,0,0,0,0.07,0,15.7,0,Matches
9,Lucien Agoume,fr FRA,MF,Sevilla,22,2002,23.5,63,2.77,16.4,36.9,10.6,0.81,63,1.28,0.94,73.3,0.3,23.3,29.3,137.3,68,1.23,0.98,0.09,1.11,0.55,39.5,0.98,Matches
10,Álvaro Aguado,es ESP,MF,Espanyol,28,1996,4.9,61.8,1.43,13.9,32.9,15.9,1.22,61.8,1.63,1.02,62.5,0.41,25,35.7,294.5,153.7,3.06,2.04,0.82,1.84,0.82,38.6,0.82,Matches
11,Lorenzo Aguado,es ESP,DF,Real Madrid,21,2002,0.1,30,0,30,0,0,0,30,0,0,,0,,10,20,0,0,0,0,0,10,10,0,Matches
12,Nayef Aguerd,ma MAR,DF,Real Sociedad,28,1996,19.6,81.3,6.73,37.2,41.6,2.7,0.82,81.3,0.51,0.26,50,0.1,20,52,311.9,193.8,1.33,0.92,0,0.36,0.15,58.1,0.05,Matches
