Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Max Aarons,eng ENG,"DF,MF",Valencia,24,2000,1.3,3.08,3.08,1.54,1.54,0,3.08,3.85,80,0.77,0.77,0,0.77,0,3.08,2.31,0,Matches
2,Rodrigo Abajas,es ESP,DF,Valencia,21,2003,0.7,4.29,2.86,2.86,1.43,0,4.29,4.29,100,0,1.43,0,1.43,1.43,5.71,0,0,Matches
3,Abel,es ESP,DF,Osasuna,23,2000,23,2.65,1.61,1.22,1.09,0.35,1.7,2.74,61.9,1.04,1.26,0.17,1.09,0.78,3.43,2.78,0.09,Matches
4,Nabil Aberdin,fr FRA,MF,Getafe,21,2002,2.9,2.07,1.38,1.03,1.03,0,0.34,0.34,100,0,1.03,0,1.03,0,2.07,1.72,0,Matches
5,Abdel Abqar,ma MAR,DF,Alavés,25,1999,27.4,1.31,0.84,0.88,0.4,0.04,0.73,1.24,58.8,0.51,1.02,0.66,0.36,1.42,2.74,5.33,0.04,Matches
6,Akor Adams,ng NGA,FW,Sevilla,24,2000,1.5,0,0,0,0,0,0,0,,0,0.67,0,0.67,0,0,0.67,0,Matches
7,Adrián,es ESP,GK,Betis,37,1987,19,0,0,0,0,0,0,0.16,0,0.16,0,0,0,0,0,0.74,0.16,Matches
8,Julen Agirrezabala,es ESP,GK,Athletic Club,23,2000,13.4,0,0,0,0,0,0,0.07,0,0.07,0,0,0,0,0,0.3,0,Matches
9,Lucien Agoume,fr FRA,MF,Sevilla,22,2002,23.5,2.98,1.36,0.98,1.57,0.43,1.15,1.66,69.2,0.51,1.28,0.47,0.81,1.74,4.72,1.79,0,Matches
10,Álvaro Aguado,es ESP,MF,Espanyol,28,1996,4.9,1.02,0.41,0.61,0.41,0,0.61,1.84,33.3,1.22,1.43,0.2,1.22,0.82,1.84,1.02,0.2,Matches
11,Lorenzo Aguado,es ESP,DF,Real Madrid,21,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,20,0,Matches
12,Nayef Aguerd,ma MAR,DF,Real Sociedad,28,1996,19.6,1.53,1.22,0.87,0.61,0.05,0.61,0.92,66.7,0.31,1.07,0.77,0.31,0.66,2.19,4.64,0,Matches
13,Joseph Aidoo,gh GHA,DF,Valladolid,28,1995,6.5,0.77,0.77,0.46,0.31,0,0.31,0.46,66.7,0.15,1.23,0.62,0.62,0.77,1.54,4,0.15,Matches
14,Joseph Aidoo,gh GHA,DF,Celta Vigo,28,1995,0,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
15,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,20,2004,6.5,1.85,1.08,0.62,0.62,0.62,0.92,1.85,50,0.92,1.23,0,1.23,0.46,2.31,2,0,Matches
16,David Alaba,at AUT,DF,Real Madrid,32,1992,3.5,0.29,0,0.29,0,0,0,0,,0,1.43,1.43,0,1.71,2,2,0,Matches
17,Ibrahim Alani,ng NGA,MF,Valladolid,18,2006,1.8,6.67,3.89,4.44,2.22,0,2.22,3.33,66.7,1.11,1.67,0.56,1.11,0.56,7.22,0.56,0,Matches
18,Raúl Albiol,es ESP,DF,Villarreal,38,1985,13.2,0.76,0.68,0.68,0.08,0,0.45,0.76,60,0.3,0.76,0.68,0.08,0.45,1.21,5.23,0.08,Matches
19,Omar Alderete,py PAR,DF,Getafe,27,1996,33,1.3,0.88,0.91,0.33,0.06,0.61,0.91,66.7,0.3,1.15,0.67,0.48,1.21,2.52,7.3,0.03,Matches
20,Carles Aleñá,es ESP,"MF,FW",Getafe,26,1998,5,1.2,0.6,0.4,0.6,0.2,0.8,2.6,30.8,1.8,1.8,0.2,1.6,0,1.2,1.4,0,Matches
21,Carles Aleñá,es ESP,"MF,FW",Alavés,26,1998,12.1,1.57,0.99,0.5,0.58,0.5,0.58,1.4,41.2,0.83,0.91,0,0.91,0.17,1.74,0.33,0,Matches
22,Alfon,es ESP,"FW,MF",Celta Vigo,25,1999,15.2,0.53,0.2,0.2,0.13,0.2,0.26,0.79,33.3,0.53,0.53,0,0.53,0.33,0.86,0.33,0.07,Matches
23,Tadeo Allende,ar ARG,FW,Celta Vigo,25,1999,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
