Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Adrián,es ESP,GK,Betis,37,1987,19,27,1,2,5,0,26,0.33,-1,-0.05,58,178,32.6,507,91,28,31.2,109,33,33.8,257,14,5.4,16,0.84,11.7,Matches
2,Julen Agirrezabala,es ESP,GK,Athletic Club,23,2000,13.4,9,1,2,1,0,10.5,0.27,1.5,0.11,57,178,32,341,51,37.5,33.9,66,75.8,54.9,143,20,14,17,1.27,14.2,Matches
3,Augusto Batalla,ar ARG,GK,Rayo Vallecano,28,1996,32,39,6,0,6,1,40,0.25,2,0.06,177,534,33.1,989,129,42.3,38.2,184,63,51.1,453,35,7.7,38,1.19,14.4,Matches
4,Dani Cárdenas,es ESP,GK,Rayo Vallecano,27,1997,6,6,0,0,0,0,5.6,0.29,-0.4,-0.06,26,106,24.5,132,21,56.8,44.3,46,67.4,51.9,79,2,2.5,1,0.17,10.2,Matches
5,Jasper Cillessen,nl NED,GK,Las Palmas,35,1989,25.9,42,4,0,4,2,44.3,0.3,4.3,0.16,124,409,30.3,820,142,39.5,34.5,179,47.5,43.1,413,13,3.1,20,0.77,14.5,Matches
6,Diego Conde,es ESP,GK,Villarreal,25,1998,21.8,33,3,1,6,1,26.3,0.26,-5.7,-0.26,61,161,37.9,532,111,22.7,28.2,107,37.4,36.3,323,18,5.6,16,0.73,11.9,Matches
7,Thibaut Courtois,be BEL,GK,Real Madrid,32,1992,30,29,3,0,6,1,28.7,0.27,0.7,0.02,62,214,29,871,173,18.5,28.2,148,35.8,39.1,350,16,4.6,14,0.47,10.7,Matches
8,Stole Dimitrievski,mk MKD,GK,Valencia,30,1993,4,6,1,0,0,0,4.5,0.29,-1.5,-0.38,15,72,20.8,113,25,49.6,40.5,20,80,53.6,51,3,5.9,16,4,25.7,Matches
9,Marko Dmitrović,rs SRB,GK,Leganés,32,1992,32,49,7,1,9,2,50.2,0.3,3.2,0.1,201,765,26.3,743,112,65.3,47.2,303,92.4,66.2,579,49,8.5,53,1.66,14.5,Matches
10,Aitor Fernández,es ESP,GK,Osasuna,33,1991,1,0,0,0,0,0,1.2,0.23,1.2,1.15,19,35,54.3,34,4,70.6,44.4,11,100,59.9,14,1,7.1,1,1,10.6,Matches
11,Álvaro Fernández,es ESP,GK,Sevilla,26,1998,8.3,16,2,0,1,0,11,0.25,-5,-0.61,37,142,26.1,277,32,39.7,34.3,46,69.6,49.4,105,7,6.7,14,1.69,16.5,Matches
12,André Ferreira,pt POR,GK,Valladolid,28,1996,6,20,3,0,1,0,15.3,0.35,-4.7,-0.79,30,83,36.1,138,26,37,33.8,56,57.1,41.7,92,4,4.3,3,0.5,10.4,Matches
13,Fran,es ESP,GK,Real Madrid,19,2005,1,2,0,0,1,0,0.9,0.43,-1.1,-1.14,1,2,50,16,3,12.5,24,4,0,14.8,5,1,20,1,1,12,Matches
14,Joan García,es ESP,GK,Espanyol,23,2001,38,51,4,2,6,1,57.7,0.28,7.7,0.2,194,526,36.9,1040,197,37.6,34.8,216,62.5,48.5,670,64,9.6,35,0.92,12,Matches
15,Paulo Gazzaniga,ar ARG,GK,Girona,32,1992,35.5,51,2,1,5,1,45.4,0.29,-4.6,-0.13,93,298,31.2,1026,137,21.6,29.4,180,42.2,40,419,36,8.6,33,0.93,12.6,Matches
16,Dominik Greif,sk SVK,GK,Mallorca,27,1997,31,34,2,0,3,1,33.9,0.28,0.9,0.03,191,475,40.2,847,126,41.9,36.4,193,62.2,48.3,511,15,2.9,21,0.68,12.9,Matches
17,Vicente Guaita,es ESP,GK,Celta Vigo,37,1987,34,48,3,0,6,0,40.6,0.3,-7.4,-0.22,66,220,30,740,195,18.4,27.3,230,36.5,35.4,436,26,6,44,1.29,14,Matches
18,Sergio Herrera,es ESP,GK,Osasuna,31,1993,37,52,7,1,4,1,56.2,0.28,5.2,0.14,277,614,45.1,966,139,43.2,37.6,276,71.4,50.7,524,32,6.1,85,2.3,19.7,Matches
19,Dinko Horkaš,hr CRO,GK,Las Palmas,25,1999,12.1,19,1,0,0,1,19.4,0.34,1.4,0.11,69,175,39.4,475,53,31.8,32.5,47,51.1,43,148,9,6.1,16,1.33,15.6,Matches
20,Karl Jakob Hein,ee EST,GK,Valladolid,22,2002,31,68,4,1,4,1,58.8,0.35,-8.2,-0.27,165,452,36.5,941,136,32.6,33.9,224,64.7,51.7,474,34,7.2,34,1.1,14,Matches
21,Luiz Lúcio Reis Júnior,br BRA,GK,Villarreal,23,2001,16.2,18,4,1,0,0,18.1,0.23,0.1,0,61,178,34.3,392,96,31.9,31.6,99,53.5,43.6,256,16,6.3,20,1.23,12.2,Matches
22,Pau López,es ESP,GK,Girona,29,1994,0.5,2,0,0,0,0,1.3,0.44,-0.7,-1.33,4,9,44.4,17,2,35.3,35.8,7,42.9,38.7,17,3,17.6,1,2,9.8,Matches
23,Andriy Lunin,ua UKR,GK,Real Madrid,25,1999,7,7,0,0,0,0,6.4,0.32,-0.6,-0.09,21,42,50,155,29,20,26.9,45,24.4,30.6,61,2,3.3,12,1.71,14.9,Matches
