Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Adrián,es ESP,GK,Betis,37,1987,19,1.42,0.05,0.11,0.26,0,1.37,0.33,-0.05,-0.05,3.05,9.37,32.6,26.7,4.79,28,31.2,5.74,33,33.8,13.5,0.74,5.4,0.84,0.84,11.7,Matches
2,Julen Agirrezabala,es ESP,GK,Athletic Club,23,2000,13.4,0.67,0.07,0.15,0.07,0,0.78,0.27,0.11,0.11,4.25,13.3,32,25.4,3.81,37.5,33.9,4.93,75.8,54.9,10.7,1.49,14,1.27,1.27,14.2,Matches
3,Augusto Batalla,ar ARG,GK,Rayo Vallecano,28,1996,32,1.22,0.19,0,0.19,0.03,1.25,0.25,0.06,0.06,5.53,16.7,33.1,30.9,4.03,42.3,38.2,5.75,63,51.1,14.2,1.09,7.7,1.19,1.19,14.4,Matches
4,Dani Cárdenas,es ESP,GK,Rayo Vallecano,27,1997,6,1,0,0,0,0,0.93,0.29,-0.07,-0.06,4.33,17.7,24.5,22,3.5,56.8,44.3,7.67,67.4,51.9,13.2,0.33,2.5,0.17,0.17,10.2,Matches
5,Jasper Cillessen,nl NED,GK,Las Palmas,35,1989,25.9,1.62,0.15,0,0.15,0.08,1.71,0.3,0.17,0.16,4.79,15.8,30.3,31.7,5.48,39.5,34.5,6.91,47.5,43.1,15.9,0.5,3.1,0.77,0.77,14.5,Matches
6,Diego Conde,es ESP,GK,Villarreal,25,1998,21.8,1.51,0.14,0.05,0.28,0.05,1.21,0.26,-0.26,-0.26,2.8,7.39,37.9,24.4,5.09,22.7,28.2,4.91,37.4,36.3,14.8,0.83,5.6,0.73,0.73,11.9,Matches
7,Thibaut Courtois,be BEL,GK,Real Madrid,32,1992,30,0.97,0.1,0,0.2,0.03,0.96,0.27,0.02,0.02,2.07,7.13,29,29,5.77,18.5,28.2,4.93,35.8,39.1,11.7,0.53,4.6,0.47,0.47,10.7,Matches
8,Stole Dimitrievski,mk MKD,GK,Valencia,30,1993,4,1.5,0.25,0,0,0,1.13,0.29,-0.38,-0.38,3.75,18,20.8,28.3,6.25,49.6,40.5,5,80,53.6,12.8,0.75,5.9,4,4,25.7,Matches
9,Marko Dmitrović,rs SRB,GK,Leganés,32,1992,32,1.53,0.22,0.03,0.28,0.06,1.57,0.3,0.1,0.1,6.28,23.9,26.3,23.2,3.5,65.3,47.2,9.47,92.4,66.2,18.1,1.53,8.5,1.66,1.66,14.5,Matches
10,Aitor Fernández,es ESP,GK,Osasuna,33,1991,1,0,0,0,0,0,1.2,0.23,1.2,1.15,19,35,54.3,34,4,70.6,44.4,11,100,59.9,14,1,7.1,1,1,10.6,Matches
11,Álvaro Fernández,es ESP,GK,Sevilla,26,1998,8.3,1.93,0.24,0,0.12,0,1.33,0.25,-0.6,-0.61,4.46,17.1,26.1,33.4,3.86,39.7,34.3,5.54,69.6,49.4,12.7,0.84,6.7,1.69,1.69,16.5,Matches
