Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
1,Max Aarons,eng ENG,"DF,MF",Valencia,24,2000,1.3,1,0.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
2,Rodrigo Abajas,es ESP,DF,Valencia,21,2003,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
3,Abel,es ESP,DF,Osasuna,23,2000,23,39,1.69,29,2,5,0,1,2,4,0.17,2,0,1,0,0,1,Matches
4,Nabil Aberdin,fr FRA,MF,Getafe,21,2002,2.9,3,1.03,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
5,Abdel Abqar,ma MAR,DF,Alavés,25,1999,27.4,25,0.91,20,0,0,2,1,2,3,0.11,2,0,0,0,1,0,Matches
6,Akor Adams,ng NGA,FW,Sevilla,24,2000,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
7,Adrián,es ESP,GK,Betis,37,1987,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
8,Julen Agirrezabala,es ESP,GK,Athletic Club,23,2000,13.4,3,0.22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
9,Lucien Agoume,fr FRA,MF,Sevilla,22,2002,23.5,60,2.55,57,0,1,1,0,1,5,0.21,4,0,0,1,0,0,Matches
10,Álvaro Aguado,es ESP,MF,Espanyol,28,1996,4.9,16,3.25,13,1,1,1,0,0,1,0.2,1,0,0,0,0,0,Matches
11,Lorenzo Aguado,es ESP,DF,Real Madrid,21,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
12,Nayef Aguerd,ma MAR,DF,Real Sociedad,28,1996,19.6,16,0.82,13,1,0,2,0,0,1,0.05,1,0,0,0,0,0,Matches
13,Joseph Aidoo,gh GHA,DF,Valladolid,28,1995,6.5,1,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
14,Joseph Aidoo,gh GHA,DF,Celta Vigo,28,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
15,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,20,2004,6.5,29,4.38,17,0,5,1,6,0,1,0.15,0,0,0,0,1,0,Matches
