Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
1,Max Aarons,eng ENG,"DF,MF",Valencia,24,2000,1.3,0.77,0.75,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
2,Rodrigo Abajas,es ESP,DF,Valencia,21,2003,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
3,Abel,es ESP,DF,Osasuna,23,2000,23,1.7,1.69,1.26,0.09,0.22,0,0.04,0.09,0.17,0.17,0.09,0,0.04,0,0,0.04,Matches
4,Nabil Aberdin,fr FRA,MF,Getafe,21,2002,2.9,1.03,1.03,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
5,Abdel Abqar,ma MAR,DF,Alavés,25,1999,27.4,0.91,0.91,0.73,0,0,0.07,0.04,0.07,0.11,0.11,0.07,0,0,0,0.04,0,Matches
6,Akor Adams,ng NGA,FW,Sevilla,24,2000,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
7,Adrián,es ESP,GK,Betis,37,1987,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
8,Julen Agirrezabala,es ESP,GK,Athletic Club,23,2000,13.4,0.22,0.22,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
9,Lucien Agoume,fr FRA,MF,Sevilla,22,2002,23.5,2.55,2.55,2.43,0,0.04,0.04,0,0.04,0.21,0.21,0.17,0,0,0.04,0,0,Matches
10,Álvaro Aguado,es ESP,MF,Espanyol,28,1996,4.9,3.27,3.25,2.65,0.2,0.2,0.2,0,0,0.2,0.2,0.2,0,0,0,0,0,Matches
11,Lorenzo Aguado,es ESP,DF,Real Madrid,21,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
12,Nayef Aguerd,ma MAR,DF,Real Sociedad,28,1996,19.6,0.82,0.82,0.66,0.05,0,0.1,0,0,0.05,0.05,0.05,0,0,0,0,0,Matches
13,Joseph Aidoo,gh GHA,DF,Valladolid,28,1995,6.5,0.15,0.15,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
14,Joseph Aidoo,gh GHA,DF,Celta Vigo,28,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
15,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,20,2004,6.5,4.46,4.38,2.62,0,0.77,0.15,0.92,0,0.15,0.15,0,0,0,0,0.15,0,Matches
16,David Alaba,at AUT,DF,Real Madrid,32,1992,3.5,0.57,0.57,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
17,Ibrahim Alani,ng NGA,MF,Valladolid,18,2006,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
18,Raúl Albiol,es ESP,DF,Villarreal,38,1985,13.2,0.38,0.38,0.3,0,0,0.08,0,0,0.23,0.23,0.23,0,0,0,0,0,Matches
19,Omar Alderete,py PAR,DF,Getafe,27,1996,33,1.12,1.12,0.85,0.03,0.03,0.15,0.03,0.03,0.12,0.12,0.06,0,0,0.03,0.03,0,Matches
20,Carles Aleñá,es ESP,"MF,FW",Getafe,26,1998,5,1.6,1.6,1.4,0,0,0,0.2,0,0,0,0,0,0,0,0,0,Matches
21,Carles Aleñá,es ESP,"MF,FW",Alavés,26,1998,12.1,3.64,3.64,2.23,0.58,0.25,0.25,0.33,0,0.33,0.33,0.17,0.08,0,0,0.08,0,Matches
22,Alfon,es ESP,"FW,MF",Celta Vigo,25,1999,15.2,3.88,3.87,2.11,0,0.79,0.59,0.39,0,0.46,0.46,0.26,0,0,0.13,0.07,0,Matches
23,Tadeo Allende,ar ARG,FW,Celta Vigo,25,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
24,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,24,2000,22,3.91,3.92,2.45,0.77,0.05,0.14,0.41,0.09,0.27,0.27,0.23,0.05,0,0,0,0,Matches
25,Iker Almena,es ESP,"FW,DF",Girona,20,2004,0.5,6,5.63,4,0,2,0,0,0,4,3.75,2,0,2,0,0,0,Matches
26,Marcos Alonso,es ESP,DF,Celta Vigo,33,1990,29.4,1.56,1.56,1.29,0.1,0.03,0.1,0,0.03,0.2,0.2,0.2,0,0,0,0,0,Matches
27,Adrià Altimira,es ESP,"DF,FW",Leganés,23,2001,18.1,1.16,1.16,0.77,0.06,0.06,0,0.28,0,0.06,0.06,0.06,0,0,0,0,0,Matches
28,Sergi Altimira,es ESP,MF,Betis,22,2001,21.9,2.37,2.37,1.83,0,0.14,0.09,0.05,0.27,0.05,0.05,0.05,0,0,0,0,0,Matches
29,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,21,2003,17.5,2.63,2.63,2.17,0,0.29,0.17,0,0,0.51,0.52,0.4,0,0.11,0,0,0,Matches
30,Julián Álvarez,ar ARG,FW,Atlético Madrid,24,2000,27.9,3.87,3.87,2.72,0.32,0.32,0.32,0.07,0.11,0.54,0.54,0.36,0.04,0,0.11,0,0.04,Matches
31,Yeray Álvarez,es ESP,DF,Athletic Club,29,1995,19.8,0.91,0.91,0.76,0,0,0,0,0.15,0.1,0.1,0.1,0,0,0,0,0,Matches
32,Selim Amallah,ma MAR,MF,Valladolid,27,1996,15.3,2.09,2.09,1.05,0.52,0.39,0.07,0,0.07,0.07,0.07,0.07,0,0,0,0,0,Matches
33,Amath,sn SEN,"FW,DF",Valladolid,28,1996,4.2,3.1,3.11,2.38,0,0.48,0.24,0,0,0.24,0.24,0.24,0,0,0,0,0,Matches
34,Marcos André,br BRA,FW,Valladolid,27,1996,13.2,1.44,1.44,1.14,0,0.23,0,0.08,0,0.08,0.08,0.08,0,0,0,0,0,Matches
