Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Max Aarons,eng ENG,"DF,MF",Valencia,24,2000,1.3,2,0,0,0,2,0,5,0,4,0,0,0,7,2,1,66.7,Matches
2,Rodrigo Abajas,es ESP,DF,Valencia,21,2003,0.7,1,0,0,2,0,1,1,1,2,0,0,0,2,0,1,0,Matches
3,Abel,es ESP,DF,Osasuna,23,2000,23,3,0,0,25,32,3,85,18,37,0,1,0,106,20,17,54.1,Matches
4,Nabil Aberdin,fr FRA,MF,Getafe,21,2002,2.9,1,0,0,7,6,0,0,0,4,0,0,0,8,10,3,76.9,Matches
5,Abdel Abqar,ma MAR,DF,Alavés,25,1999,27.4,13,0,0,47,31,2,5,39,23,1,2,0,87,40,35,53.3,Matches
6,Akor Adams,ng NGA,FW,Sevilla,24,2000,1.5,0,0,0,1,0,1,0,0,0,0,0,0,4,6,10,37.5,Matches
7,Adrián,es ESP,GK,Betis,37,1987,19,3,0,0,0,4,0,0,0,0,0,0,0,20,2,1,66.7,Matches
8,Julen Agirrezabala,es ESP,GK,Athletic Club,23,2000,13.4,1,1,0,3,1,0,0,0,0,0,2,0,21,5,0,100,Matches
9,Lucien Agoume,fr FRA,MF,Sevilla,22,2002,23.5,5,1,0,49,6,2,18,41,32,0,1,0,136,42,40,51.2,Matches
10,Álvaro Aguado,es ESP,MF,Espanyol,28,1996,4.9,3,0,0,5,8,0,12,4,2,0,0,0,37,3,2,60,Matches
11,Lorenzo Aguado,es ESP,DF,Real Madrid,21,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
12,Nayef Aguerd,ma MAR,DF,Real Sociedad,28,1996,19.6,5,0,0,11,19,0,2,13,24,0,1,0,73,61,32,65.6,Matches
13,Joseph Aidoo,gh GHA,DF,Valladolid,28,1995,6.5,0,0,0,4,2,0,0,5,5,0,0,0,25,9,8,52.9,Matches
14,Joseph Aidoo,gh GHA,DF,Celta Vigo,28,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
15,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,20,2004,6.5,1,0,0,9,21,1,18,3,7,0,0,0,30,6,6,50,Matches
16,David Alaba,at AUT,DF,Real Madrid,32,1992,3.5,1,0,0,2,0,0,3,6,0,0,0,0,8,4,1,80,Matches
17,Ibrahim Alani,ng NGA,MF,Valladolid,18,2006,1.8,0,0,0,2,5,0,0,1,7,0,0,0,13,3,1,75,Matches
18,Raúl Albiol,es ESP,DF,Villarreal,38,1985,13.2,5,0,0,11,6,0,0,6,9,0,2,1,44,29,14,67.4,Matches
19,Omar Alderete,py PAR,DF,Getafe,27,1996,33,8,0,0,33,12,8,6,40,29,1,4,0,115,101,51,66.4,Matches
20,Carles Aleñá,es ESP,"MF,FW",Getafe,26,1998,5,1,0,0,8,11,2,6,0,3,0,0,0,12,10,9,52.6,Matches
21,Carles Aleñá,es ESP,"MF,FW",Alavés,26,1998,12.1,1,0,0,11,24,0,31,2,12,0,0,0,47,9,6,60,Matches
22,Alfon,es ESP,"FW,MF",Celta Vigo,25,1999,15.2,1,1,0,15,31,6,40,5,3,1,0,0,37,3,14,17.6,Matches
23,Tadeo Allende,ar ARG,FW,Celta Vigo,25,1999,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
24,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,24,2000,22,2,0,0,28,38,2,67,8,32,0,0,0,89,5,15,25,Matches
25,Iker Almena,es ESP,"FW,DF",Girona,20,2004,0.5,0,0,0,0,1,0,4,0,0,0,0,0,2,0,0,,Matches
26,Marcos Alonso,es ESP,DF,Celta Vigo,33,1990,29.4,10,2,1,31,28,2,42,34,21,0,1,0,176,70,42,62.5,Matches
27,Adrià Altimira,es ESP,"DF,FW",Leganés,23,2001,18.1,6,0,0,27,28,3,28,15,24,0,1,0,71,12,19,38.7,Matches
28,Sergi Altimira,es ESP,MF,Betis,22,2001,21.9,4,0,0,35,33,0,5,24,37,1,0,0,117,11,22,33.3,Matches
