Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1,Max Aarons,eng ENG,"DF,MF",Valencia,24,2000,1.3,47,66,71.2,705,190,24,30,80,21,30,70,1,4,25,0,0,0,0,1,2,0,0,6,Matches
2,Rodrigo Abajas,es ESP,DF,Valencia,21,2003,0.7,17,29,58.6,268,110,11,14,78.6,4,7,57.1,2,7,28.6,0,0,0,0,0,0,0,0,2,Matches
3,Abel,es ESP,DF,Osasuna,23,2000,23,776,1071,72.5,12899,5046,385,439,87.7,315,401,78.6,58,158,36.7,0,1,1.5,-1,16,57,18,13,77,Matches
4,Nabil Aberdin,fr FRA,MF,Getafe,21,2002,2.9,36,61,59,680,267,12,20,60,12,19,63.2,8,13,61.5,0,0,0.1,0,1,7,2,0,6,Matches
5,Abdel Abqar,ma MAR,DF,Alavés,25,1999,27.4,719,939,76.6,16039,5771,180,194,92.8,421,460,91.5,114,258,44.2,1,0.3,0.4,0.7,8,67,10,2,79,Matches
6,Akor Adams,ng NGA,FW,Sevilla,24,2000,1.5,20,27,74.1,334,48,9,12,75,7,9,77.8,3,5,60,0,0,0,0,0,3,1,0,5,Matches
7,Adrián,es ESP,GK,Betis,37,1987,19,474,619,76.6,12206,8309,74,76,97.4,265,268,98.9,134,269,49.8,0,0,0,0,0,4,0,0,0,Matches
8,Julen Agirrezabala,es ESP,GK,Athletic Club,23,2000,13.4,281,411,68.4,7681,5777,46,46,100,165,165,100,70,196,35.7,0,0,0,0,0,1,0,0,0,Matches
9,Lucien Agoume,fr FRA,MF,Sevilla,22,2002,23.5,1007,1236,81.5,15958,5460,545,601,90.7,357,425,84,79,142,55.6,3,2.5,1.6,0.5,27,126,19,3,135,Matches
10,Álvaro Aguado,es ESP,MF,Espanyol,28,1996,4.9,193,248,77.8,3748,1187,63,81,77.8,99,116,85.3,28,40,70,1,0.6,0.4,0.4,4,31,8,3,37,Matches
11,Lorenzo Aguado,es ESP,DF,Real Madrid,21,2002,0.1,1,1,100,34,0,0,0,,0,0,,1,1,100,0,0,0,0,0,0,0,0,0,Matches
12,Nayef Aguerd,ma MAR,DF,Real Sociedad,28,1996,19.6,1213,1389,87.3,23636,8366,438,462,94.8,618,662,93.4,144,229,62.9,0,0.1,0.3,-0.1,5,87,3,1,75,Matches
13,Joseph Aidoo,gh GHA,DF,Valladolid,28,1995,6.5,337,378,89.2,7044,2518,80,87,92,215,226,95.1,41,63,65.1,0,0,0.1,0,0,9,2,0,14,Matches
14,Joseph Aidoo,gh GHA,DF,Celta Vigo,28,1995,0,6,7,85.7,126,81,1,1,100,5,5,100,0,0,,0,0,0,0,0,0,0,0,1,Matches
