Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1,Max Aarons,eng ENG,"DF,MF",Valencia,24,2000,1.3,36.2,50.8,71.2,542.3,146.2,18.5,23.1,80,16.2,23.1,70,0.77,3.08,25,0,0,0,0,0.77,1.54,0,0,4.62,Matches
2,Rodrigo Abajas,es ESP,DF,Valencia,21,2003,0.7,24.3,41.4,58.6,382.9,157.1,15.7,20,78.6,5.71,10,57.1,2.86,10,28.6,0,0,0,0,0,0,0,0,2.86,Matches
3,Abel,es ESP,DF,Osasuna,23,2000,23,33.7,46.6,72.5,560.8,219.4,16.7,19.1,87.7,13.7,17.4,78.6,2.52,6.87,36.7,0,0.04,0.07,-0.04,0.7,2.48,0.78,0.57,3.35,Matches
4,Nabil Aberdin,fr FRA,MF,Getafe,21,2002,2.9,12.4,21,59,234.5,92.1,4.14,6.9,60,4.14,6.55,63.2,2.76,4.48,61.5,0,0,0.03,0,0.34,2.41,0.69,0,2.07,Matches
5,Abdel Abqar,ma MAR,DF,Alavés,25,1999,27.4,26.2,34.3,76.6,585.4,210.6,6.57,7.08,92.8,15.4,16.8,91.5,4.16,9.42,44.2,0.04,0.01,0.01,0.03,0.29,2.45,0.36,0.07,2.88,Matches
6,Akor Adams,ng NGA,FW,Sevilla,24,2000,1.5,13.3,18,74.1,222.7,32,6,8,75,4.67,6,77.8,2,3.33,60,0,0,0,0,0,2,0.67,0,3.33,Matches
7,Adrián,es ESP,GK,Betis,37,1987,19,24.9,32.6,76.6,642.4,437.3,3.89,4,97.4,13.9,14.1,98.9,7.05,14.2,49.8,0,0,0,0,0,0.21,0,0,0,Matches
8,Julen Agirrezabala,es ESP,GK,Athletic Club,23,2000,13.4,21,30.7,68.4,573.2,431.1,3.43,3.43,100,12.3,12.3,100,5.22,14.6,35.7,0,0,0,0,0,0.07,0,0,0,Matches
9,Lucien Agoume,fr FRA,MF,Sevilla,22,2002,23.5,42.9,52.6,81.5,679.1,232.3,23.2,25.6,90.7,15.2,18.1,84,3.36,6.04,55.6,0.13,0.11,0.07,0.02,1.15,5.36,0.81,0.13,5.74,Matches
10,Álvaro Aguado,es ESP,MF,Espanyol,28,1996,4.9,39.4,50.6,77.8,764.9,242.2,12.9,16.5,77.8,20.2,23.7,85.3,5.71,8.16,70,0.2,0.12,0.08,0.08,0.82,6.33,1.63,0.61,7.55,Matches
11,Lorenzo Aguado,es ESP,DF,Real Madrid,21,2002,0.1,10,10,100,340,0,0,0,,0,0,,10,10,100,0,0,0,0,0,0,0,0,0,Matches
12,Nayef Aguerd,ma MAR,DF,Real Sociedad,28,1996,19.6,61.9,70.9,87.3,1205.9,426.8,22.3,23.6,94.8,31.5,33.8,93.4,7.35,11.7,62.9,0,0.01,0.02,-0.01,0.26,4.44,0.15,0.05,3.83,Matches
13,Joseph Aidoo,gh GHA,DF,Valladolid,28,1995,6.5,51.8,58.2,89.2,1083.7,387.4,12.3,13.4,92,33.1,34.8,95.1,6.31,9.69,65.1,0,0,0.02,0,0,1.38,0.31,0,2.15,Matches
14,Joseph Aidoo,gh GHA,DF,Celta Vigo,28,1995,0,6,7,85.7,126,81,1,1,100,5,5,100,0,0,,0,0,0,0,0,0,0,0,1,Matches
15,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,20,2004,6.5,20.9,28.5,73.5,332.5,82.2,11.7,13.5,86.4,7.08,9.69,73,1.23,2.15,57.1,0,0.15,0.26,-0.15,1.38,0.77,1.23,0.31,1.85,Matches
16,David Alaba,at AUT,DF,Real Madrid,32,1992,3.5,58.9,65.1,90.4,1006.3,416,25.7,25.7,100,27.4,28,98,4.29,9.14,46.9,0,0.03,0.03,-0.03,0.29,3.14,0.29,0,2,Matches
17,Ibrahim Alani,ng NGA,MF,Valladolid,18,2006,1.8,39.4,47.2,83.5,769.4,165.6,12.8,13.9,92,20.6,21.7,94.9,4.44,8.33,53.3,0,0,0,0,0,3.89,0,0,2.78,Matches
18,Raúl Albiol,es ESP,DF,Villarreal,38,1985,13.2,55.1,61.6,89.4,1104.7,455,16.1,17,94.7,32.8,35.1,93.5,5.76,8.71,66.1,0,0,0.01,0,0,1.97,0.08,0,2.58,Matches
19,Omar Alderete,py PAR,DF,Getafe,27,1996,33,21.9,33.5,65.5,514.9,238.2,5.79,7.12,81.3,11.1,14.1,79.1,4.94,11.1,44.5,0,0.03,0.03,-0.03,0.33,4,0.45,0.06,3.39,Matches
20,Carles Aleñá,es ESP,"MF,FW",Getafe,26,1998,5,18.6,23.4,79.5,300.8,59.8,9,11,81.8,7.6,8.8,86.4,1.2,2.2,54.5,0,0.02,0.02,-0.02,0.6,1.8,0.6,0.2,2.4,Matches
21,Carles Aleñá,es ESP,"MF,FW",Alavés,26,1998,12.1,29.7,39,76.1,445,124,16.2,18.3,88.7,10.1,12.8,78.7,2.07,3.97,52.1,0.17,0.11,0.11,0.06,1.57,2.89,1.16,0.17,4.79,Matches
22,Alfon,es ESP,"FW,MF",Celta Vigo,25,1999,15.2,17.3,24.8,69.8,252.9,34.3,9.61,10.9,88.5,6.18,8.68,71.2,0.72,1.78,40.7,0.13,0.17,0.14,-0.04,1.58,0.53,0.46,0.07,1.45,Matches
23,Tadeo Allende,ar ARG,FW,Celta Vigo,25,1999,0,1,3,33.3,7,1,1,2,50,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
24,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,24,2000,22,36.3,43,84.3,594,169.9,18.9,20.2,93.5,12.6,14.5,87.1,3.5,5.59,62.6,0.18,0.15,0.22,0.04,1.95,4.36,1.09,0.23,6.45,Matches
25,Iker Almena,es ESP,"FW,DF",Girona,20,2004,0.5,46,64,71.9,656,68,26,28,92.9,20,28,71.4,0,2,0,2,1.4,0.8,0.6,4,0,0,0,4,Matches
26,Marcos Alonso,es ESP,DF,Celta Vigo,33,1990,29.4,72.8,81.5,89.2,1324.4,476.8,29,30.7,94.5,36.7,38.8,94.6,6.12,9.8,62.5,0,0.04,0.07,-0.04,0.71,7.69,0.71,0.2,7.31,Matches
27,Adrià Altimira,es ESP,"DF,FW",Leganés,23,2001,18.1,26.7,34,78.5,427.1,118.7,14.1,16.1,87.3,10.3,13.1,78.5,1.88,3.37,55.7,0,0.03,0.04,-0.03,0.61,1.88,0.55,0.11,2.32,Matches
