Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Max Aarons,eng ENG,"DF,MF",Valencia,24,2000,4,1,120,1.3,0,0,0,0,0,0,1.54,0,0,0,0,0,0,4.62,7.69,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
2,Rodrigo Abajas,es ESP,DF,Valencia,21,2003,1,1,65,0.7,0,0,0,0,0,0,1.43,0,0.14,0.14,0,0.14,4.29,2.86,4.29,0,0,0,0,0,0.1,0,0.1,0.1,0.1,Matches
3,Abel,es ESP,DF,Osasuna,23,2000,35,20,"2,074",23,0.09,0,0.09,0.09,0,0,0.13,0,0.02,0.02,0.04,0.07,2.17,3.35,4,0.09,0,0.09,0.09,0.09,0.02,0.05,0.07,0.02,0.07,Matches
4,Nabil Aberdin,fr FRA,MF,Getafe,21,2002,7,4,263,2.9,0,0,0,0,0,0,0.34,0,0,0,0,0.03,0.69,2.07,0.69,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,Matches
5,Abdel Abqar,ma MAR,DF,Alavés,25,1999,29,29,"2,463",27.4,0,0.04,0.04,0,0,0,0.47,0,0.03,0.03,0.01,0.04,0.58,2.88,0.15,0,0.04,0.04,0,0.04,0.03,0.01,0.04,0.03,0.04,Matches
6,Akor Adams,ng NGA,FW,Sevilla,24,2000,4,1,134,1.5,0,0,0,0,0,0,0,0,0.27,0.27,0,0.27,0,3.33,3.33,0,0,0,0,0,0.29,0,0.29,0.29,0.29,Matches
7,Adrián,es ESP,GK,Betis,37,1987,19,19,"1,710",19,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
8,Julen Agirrezabala,es ESP,GK,Athletic Club,23,2000,14,14,"1,206",13.4,0,0,0,0,0,0,0.07,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
9,Lucien Agoume,fr FRA,MF,Sevilla,22,2002,35,24,"2,114",23.5,0.04,0.13,0.17,0.04,0,0,0.21,0.04,0.04,0.04,0.11,0.14,1.23,5.74,0.98,0.04,0.13,0.17,0.04,0.17,0.04,0.11,0.14,0.04,0.14,Matches
10,Álvaro Aguado,es ESP,MF,Espanyol,28,1996,16,4,443,4.9,0,0.2,0.2,0,0,0,0.61,0,0.12,0.12,0.12,0.24,3.06,7.55,0.82,0,0.2,0.2,0,0.2,0.12,0.12,0.24,0.12,0.24,Matches
11,Lorenzo Aguado,es ESP,DF,Real Madrid,21,2002,2,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
