Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Max Aarons,eng ENG,"DF,MF",Valencia,24,2000,4,120,30,3.5,1.3,0.77,73,0,2.31,16,10.8,0.75,0.77,2.31,-1.54,-1.5,-1.28,1.15,2.85,-1.77,-1.69,-1.52,Matches
2,Álvaro Abajas,es ESP,GK,Leganés,21,2003,0,,,,,0,,0,0,,33,,,,,,,,,,,,Matches
3,Rodrigo Abajas,es ESP,DF,Valencia,21,2003,1,65,65,1.9,0.7,1.43,65,0,0,,11.4,0,1.43,2.86,-1.43,-1.38,-1.14,2,1,1,0.93,1.18,Matches
4,Jones El-Abdellaoui,no NOR,FW,Celta Vigo,18,2006,0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches
5,Abel,es ESP,DF,Osasuna,23,2000,35,"2,074",59,60.6,23,0.87,86,0.57,0.65,24,0.13,1.46,1.3,1.52,-0.22,-0.22,-0.28,1.12,1.5,-0.38,-0.38,-0.32,Matches
6,Nabil Aberdin,fr FRA,MF,Getafe,21,2002,7,263,38,7.7,2.9,1.38,63,0.34,1.03,4,2.41,1.14,0.34,0.69,-0.34,-0.34,-0.23,0.62,0.55,0.07,0.07,0.34,Matches
7,Abdel Abqar,ma MAR,DF,Alavés,25,1999,29,"2,463",85,72,27.4,1.06,85,0.88,0,,0,1.03,1.09,1.5,-0.4,-0.4,-0.5,1.17,1.22,-0.05,-0.05,0.21,Matches
8,Vicent Abril Sanz,es ESP,GK,Valencia,19,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
9,Álvaro Aceves,es ESP,GK,Valladolid,21,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
10,Akor Adams,ng NGA,FW,Sevilla,24,2000,4,134,34,3.9,1.5,0.67,90,0.67,2,15,0,0.25,0.67,2,-1.33,-1.34,-1.04,0.67,1.33,-0.67,-0.71,-0.61,Matches
11,Adrián,es ESP,GK,Betis,37,1987,19,"1,710",90,50,19,1,90,1,0,,0.89,1.95,2.05,1.42,0.63,0.63,0.89,1.36,1.35,0.01,0.01,-0.19,Matches
12,Julen Agirrezabala,es ESP,GK,Athletic Club,23,2000,14,"1,206",86,35.3,13.4,1.04,86,0.9,0,,1.64,2.21,1.64,0.67,0.97,0.97,0.48,1.42,0.82,0.6,0.6,0.3,Matches
13,Lucien Agoume,fr FRA,MF,Sevilla,22,2002,35,"2,114",60,61.8,23.5,1.02,84,0.6,0.47,10,0.04,1.09,1.11,1.66,-0.55,-0.55,-0.55,1.09,1.34,-0.25,-0.24,-0.32,Matches
14,Álvaro Aguado,es ESP,MF,Espanyol,28,1996,16,443,28,13,4.9,0.82,71,0,2.45,13,4.08,0.94,1.22,1.43,-0.2,-0.2,0.1,1.22,1.69,-0.49,-0.48,0.03,Matches
15,Diego Aguado,es ESP,DF,Real Madrid,17,2007,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
16,Lorenzo Aguado,es ESP,DF,Real Madrid,21,2002,2,5,3,0.1,0.1,0,,0,20,3,60,3,0,0,0,0,-1.05,2,0,2,3.53,2.67,Matches
